timestamp,date,time_of_day,satellite,x_error,y_error,z_error,clock_error
2025-09-01 20:00:00,2025-09-01,20:00,MEO1,-0.837601373,-0.584908968,-0.216711007,-0.060440918
2025-09-01 20:00:00,2025-09-01,20:00,MEO1,-0.837601373,-0.584908968,-0.216711007,-0.060440918
2025-09-02 20:00:00,2025-09-02,20:00,MEO1,-0.775892772,-0.037073866,0.430691566,0.475854393
2025-09-02 20:00:00,2025-09-02,20:00,MEO1,-0.775892772,-0.037073866,0.430691566,0.475854393
2025-09-03 20:00:00,2025-09-03,20:00,GEO,1.97375378,1.644614056,-1.794176658,0.184397754
2025-09-03 20:00:00,2025-09-03,20:00,MEO1,-0.331164595,0.460334195,0.754296971,-0.111867706
2025-09-03 20:00:00,2025-09-03,20:00,MEO1,-0.331164595,0.460334195,0.754296971,-0.111867706
2025-09-04 20:00:00,2025-09-04,20:00,GEO,3.936180905,3.607647866,-1.9515022,-0.171105016
2025-09-05 20:00:00,2025-09-05,20:00,GEO,3.034154851,2.862683993,-2.96770321,-3.944828262
2025-09-06 20:00:00,2025-09-06,20:00,GEO,1.496998135,1.386959512,-5.309914549,-0.179841568
