timestamp,date,time_of_day,satellite,x_error,y_error,z_error,clock_error
2025-09-04 00:00:00,2025-09-04,00:00,GEO,2.64533034,2.943842776,3.965113758,-2.400472567
2025-09-04 00:00:00,2025-09-04,00:00,MEO1,-0.967762081,0.272608705,-0.46438418,0.115396922
2025-09-04 00:00:00,2025-09-04,00:00,MEO1,-0.967762081,0.272608705,-0.46438418,0.115396922
2025-09-05 00:00:00,2025-09-05,00:00,GEO,0.379871171,0.624769423,2.785508084,-1.427520728
2025-09-05 00:00:00,2025-09-05,00:00,MEO1,-0.517121889,0.632788374,0.33881541,0.313628899
2025-09-05 00:00:00,2025-09-05,00:00,MEO1,-0.517121889,0.632788374,0.33881541,0.313628899
2025-09-06 00:00:00,2025-09-06,00:00,GEO,-0.789052434,0.115149252,8.13076666,0.979490283
2025-09-02 00:01:00,2025-09-02,00:01,GEO,-3.10976512,-2.492300574,2.454867034,0.895619206
2025-09-03 00:01:00,2025-09-03,00:01,GEO,1.28482075,1.633254424,3.061740684,-1.10153897
2025-09-09 00:19:00,2025-09-09,00:19,MEO2,-0.232342325,0.699369419,-0.638417648,0.127971837
2025-09-09 00:21:00,2025-09-09,00:21,MEO2,-0.061376698,0.082879949,-0.108932456,0.018774383
2025-09-09 00:21:00,2025-09-09,00:21,MEO2,-0.061376698,0.082879949,-0.108932456,0.018774383
2025-09-09 00:31:00,2025-09-09,00:31,MEO2,0.015138865,0.052008424,-0.094498529,0.03367041
2025-09-09 00:31:00,2025-09-09,00:31,MEO2,0.015138865,0.052008424,-0.094498529,0.03367041
2025-09-09 00:45:00,2025-09-09,00:45,MEO2,-0.014519066,0.060737919,-0.099629695,0.016220181
2025-09-09 00:45:00,2025-09-09,00:45,MEO2,-0.014519066,0.060737919,-0.099629695,0.016220181
2025-09-09 00:51:00,2025-09-09,00:51,MEO2,-0.068383817,0.096658062,-0.136220684,0.016220151
2025-09-09 00:51:00,2025-09-09,00:51,MEO2,-0.068383817,0.096658062,-0.136220684,0.016220151
2025-09-06 00:59:00,2025-09-06,00:59,MEO2,0.140982337,0.865999331,-0.577171501,0.025395359
2025-09-04 01:00:00,2025-09-04,01:00,MEO1,-0.856967132,0.126926705,-0.764487924,-0.097418698
2025-09-04 01:00:00,2025-09-04,01:00,MEO1,-0.856967132,0.126926705,-0.764487924,-0.097418698
2025-09-05 01:00:00,2025-09-05,01:00,MEO1,-0.656200007,0.738374509,-0.022809725,0.112118632
2025-09-05 01:00:00,2025-09-05,01:00,MEO1,-0.656200007,0.738374509,-0.022809725,0.112118632
2025-09-06 01:01:00,2025-09-06,01:01,MEO2,0.013908878,0.134659275,-0.067289431,0.003878415
2025-09-06 01:01:00,2025-09-06,01:01,MEO2,0.013908878,0.134659275,-0.067289431,0.003878415
2025-09-09 01:01:00,2025-09-09,01:01,MEO2,-0.058625311,0.055791996,-0.119239857,0.03367041
2025-09-09 01:01:00,2025-09-09,01:01,MEO2,-0.058625311,0.055791996,-0.119239857,0.03367041
2025-09-06 01:11:00,2025-09-06,01:11,MEO2,0.019546565,0.06171583,-0.067408971,0.021328644
2025-09-06 01:11:00,2025-09-06,01:11,MEO2,0.019546565,0.06171583,-0.067408971,0.021328644
2025-09-09 01:11:00,2025-09-09,01:11,MEO2,-0.026879527,0.069938775,-0.113350419,-0.001230048
2025-09-06 01:21:00,2025-09-06,01:21,MEO2,0.059832983,0.056043431,-0.039315034,0.018774413
2025-09-06 01:21:00,2025-09-06,01:21,MEO2,0.059832983,0.056043431,-0.039315034,0.018774413
2025-09-06 01:31:00,2025-09-06,01:31,MEO2,0.011891365,0.078088701,-0.076481938,0.036224612
2025-09-06 01:31:00,2025-09-06,01:31,MEO2,0.011891365,0.078088701,-0.076481938,0.036224612
2025-09-06 01:41:00,2025-09-06,01:41,MEO2,0.035921536,0.085725619,-0.102250531,0.018774413
2025-09-04 02:00:00,2025-09-04,02:00,GEO,-0.722049899,-0.053910244,2.828218274,-0.441571956
2025-09-04 02:00:00,2025-09-04,02:00,MEO1,-0.663020635,-0.150727611,-0.862879188,-0.210255003
2025-09-04 02:00:00,2025-09-04,02:00,MEO1,-0.663020635,-0.150727611,-0.862879188,-0.210255003
2025-09-05 02:00:00,2025-09-05,02:00,GEO,3.726228692,3.891447306,2.653838237,-0.061024344
